Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company,Weekend,Daytime
1551,16.89,42.25,0.0,0.0,42.25,Cash,Sun Taxi,False,True
2717,16.95,43.0,0.0,4.0,47.0,Cash,Flash Cab,False,True
1200,5.04,16.25,0.0,0.0,16.75,Credit Card,Chicago Independents,False,True
645,2.79,10.0,3.0,0.0,13.5,Credit Card,Taxicab Insurance Agency Llc,False,True
810,6.93,17.88,2.0,0.0,19.88,Mobile,Flash Cab,False,True
901,1.59,9.5,0.0,0.0,9.5,Cash,Sun Taxi,False,True
2567,21.2,51.25,8.81,7.0,67.56,Credit Card,Medallion Leasin,True,True
2033,11.02,30.25,0.0,0.0,30.25,Prcard,Flash Cab,False,True
1583,17.8,43.75,8.0,4.0,56.25,Credit Card,Chicago Independents,False,False
662,1.68,8.25,2.0,0.0,10.75,Credit Card,Top Cab,False,True
545,3.23,10.63,1.25,0.0,11.88,Mobile,Taxicab Insurance Agency Llc,False,True
240,0.7,5.0,0.0,1.0,6.0,Cash,Taxi Affiliation Services,False,True
839,3.03,10.37,1.28,0.0,11.65,Mobile,Chicago Independents,True,False
4411,18.27,53.0,11.7,5.0,70.2,Mobile,Blue Ribbon Taxi Association,False,True
2280,14.4,37.75,0.0,8.0,45.75,Cash,U Taxicab,True,True
2651,15.99,41.0,11.38,4.0,56.88,Credit Card,5 Star Taxi,False,True
589,1.8,8.0,1.95,0.0,9.95,Mobile,Chicago Independents,False,True
1216,12.96,33.0,8.88,2.0,44.38,Credit Card,City Service,True,True
1187,11.22,29.75,0.0,0.0,29.75,Prcard,Flash Cab,False,True
254,0.78,9.0,3.0,0.0,12.0,Mobile,Taxicab Insurance Agency Llc,True,True
939,2.06,10.0,2.69,0.0,12.69,Mobile,Sun Taxi,True,True
1061,10.25,27.0,0.0,0.0,27.0,Prcard,Flash Cab,False,False
1670,7.34,22.25,0.0,1.5,23.75,Cash,Taxicab Insurance Agency Llc,False,True
1971,17.16,42.75,9.45,4.0,56.7,Credit Card,Medallion Leasin,True,False
3168,9.53,31.0,0.0,0.0,31.0,Prcard,Flash Cab,True,True
343,0.64,5.5,0.0,0.0,5.5,Cash,Taxicab Insurance Agency Llc,False,True
3600,14.4,41.0,13.9,5.0,59.9,Credit Card,2733 - 74600 Benny Jona,False,True
895,4.31,12.87,3.02,0.0,15.89,Mobile,Chicago Independents,True,False
440,1.09,31.29,0.0,0.0,31.29,Cash,Flash Cab,False,True
852,5.69,16.75,4.25,4.0,25.5,Credit Card,Taxicab Insurance Agency Llc,False,True
2259,14.13,37.5,8.6,5.0,51.6,Credit Card,Blue Ribbon Taxi Association,False,True
300,1.0,6.0,0.0,2.0,8.0,Cash,"Taxicab Insurance Agency, LLC",True,True
1320,11.14,29.75,0.0,0.0,29.75,Prcard,Taxicab Insurance Agency Llc,False,True
510,1.21,7.25,0.78,0.0,8.53,Mobile,City Service,False,True
163,0.46,4.5,2.0,0.0,7.0,Credit Card,Sun Taxi,False,True
367,1.04,9.0,2.15,0.0,11.15,Mobile,Taxicab Insurance Agency Llc,False,True
